precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0,0.0,0,20.337213039398193,0.125,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
0,0.0,0,20.362318515777588,0.125,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
0,0.0,0,20.348822355270386,0.25,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
0,0.0,0,20.360045433044434,0.25,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
1.0,0.028767123287671233,0.0559254327563249,22.911492586135864,0.375,True,0.14036953189607473,0.06091771579836839,0.04760589224681956,0.042223771224885125,4388,24,4412,24,21,0,709
1.0,0.031506849315068496,0.06108897742363878,21.768682956695557,0.375,False,0.1432002828641662,0.06412188675071429,0.050356335402847,0.04484913997758963,0,0,0,0,23,0,707
1.0,0.4410958904109589,0.6121673003802282,35.05067992210388,0.5,True,0.6203620374363501,0.5126499907696587,0.471628301120921,0.4510213133097689,65981,387,66368,387,322,0,408
1.0,0.4794520547945205,0.6481481481481481,21.841318130493164,0.5,False,0.6384019947202838,0.5353684561308039,0.4964089077123945,0.47720180980630084,0,0,0,0,350,0,380
0.9127906976744186,0.8602739726027397,0.8857545839210155,48.147868394851685,0.625,True,0.914311389069852,0.8395299491594679,0.8064132501011215,0.7869000302158402,132432,798,133230,798,628,60,102
0.9035812672176309,0.8986301369863013,0.901098901098901,21.858027935028076,0.625,False,0.9317688582403673,0.8600361824356761,0.8290402179894465,0.8111557385392938,0,0,0,0,656,70,74
0.9184549356223176,0.8794520547945206,0.8985304408677397,48.86057376861572,0.75,True,0.9263179458258176,0.8507944115703904,0.8171545306026982,0.7956691424707927,135823,820,136643,820,642,57,88
0.9061662198391421,0.9260273972602739,0.9159891598915989,21.852429628372192,0.75,False,0.9488889943737261,0.8775907626731837,0.8464500015762673,0.8264822855326592,0,0,0,0,676,70,54
0.9236209335219236,0.8945205479452055,0.90883785664579,48.87889528274536,0.875,True,0.9335095850281515,0.858550481524999,0.8255628183475073,0.8045326783402309,135823,820,136643,820,653,54,77
0.9061662198391421,0.9260273972602739,0.9159891598915989,21.736523866653442,0.875,False,0.9488889943737261,0.8775907626731837,0.8464500015762673,0.8264822855326592,0,0,0,0,676,70,54
0.9202279202279202,0.8849315068493151,0.9022346368715084,26.66913104057312,0.5,,0.9297724449301971,0.8531978282811356,0.8191134195271431,0.7975129110798124,135823,820,136643,820,646,56,84
0,0.0,0,20.398046731948853,0,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
0,0.0,0,20.423393964767456,0,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,730
0.9209770114942529,0.8780821917808219,0.8990182328190743,49.31822204589844,1,True,0.9228922098757,0.8469299834729394,0.8129889553764197,0.7911587101252374,135823,820,136643,820,641,55,89
0.9061662198391421,1.0,0.9159891598915989,22.267642498016357,1,False,0.9488889943737261,0.8775907626731837,0.8464500015762673,0.8264822855326592,0,0,0,0,676,70,0
