precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0.19142857142857142,0.67,0.29777777777777775,1108.9819872379303,0.5,True,0.8747367126785326,0.8565240572670675,0.846866868871157,0.8390021705887232,1424463,9940,1434403,9940,67,283,33
0.009758551307847082,0.97,0.01932270916334661,495.324946641922,0.5,False,0.9924970344525049,0.9911923748687547,0.9901286877248898,0.9891397133589208,0,0,0,0,97,9843,3
0.23648648648648649,0.7,0.35353535353535354,1087.474749326706,0.625,True,0.8782899070581999,0.8601031863499259,0.8519723760295342,0.8456025104712802,1301801,9159,1310960,9159,70,226,30
0.010263129162572333,0.94,0.020304568527918784,493.6076748371124,0.625,False,0.9838329435886201,0.9813779082803791,0.9796620497917564,0.9781226266676234,0,0,0,0,94,9065,6
0.34782608695652173,0.64,0.4507042253521127,969.9313733577728,0.75,True,0.8363694258447947,0.8123251259837594,0.8004068046178793,0.7909440447863257,925425,6490,931915,6490,64,120,36
0.013559322033898305,0.88,0.026707132018209408,493.87722730636597,0.75,False,0.9540422607063224,0.9462947358678653,0.9428239717275281,0.9400257654076448,0,0,0,0,88,6402,12
0.9259259259259259,0.25,0.39370078740157477,652.4204897880554,0.875,True,0.5054749791303783,0.43356531963259054,0.3964361005148673,0.3667368701339588,22763,162,22925,162,25,2,75
0.30864197530864196,0.5,0.38167938931297707,493.5593681335449,0.875,False,0.6755245191510012,0.62780629893002,0.6059587740466837,0.5871180282244566,0,0,0,0,50,112,50
0.96,0.24,0.384,606.8730645179749,0.9,True,0.4796910124404228,0.4075673132479236,0.372798991124718,0.3427560038018725,6397,45,6442,45,24,1,76
0.8222222222222222,0.37,0.5103448275862069,493.8929557800293,0.9,False,0.565539263491766,0.5018887594685856,0.4732292591844506,0.4485853807720004,0,0,0,0,37,8,63
0,0.0,0,492.21692276000977,0.95,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100
0,0.0,0,492.45145177841187,0.95,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100
0,0.0,0,492.3879289627075,0.975,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100
0,0.0,0,493.42015838623047,0.975,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100
0.18233618233618235,0.64,0.2838137472283814,617.4446041584015,0.5,,0.8765544463594709,0.859236534834181,0.8496377876447725,0.8420394174479,1435700,10000,1445700,10000,64,287,36
