precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0.6862745098039216,1.0,0.813953488372093,48.57070994377136,0.125,True,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,127623,820,128443,820,70,32,0
0.0938337801608579,1.0,0.17156862745098037,21.807392835617065,0.125,False,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,0,0,0,0,70,676,0
0.693069306930693,1.0,0.8187134502923976,48.62118101119995,0.25,True,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,127623,820,128443,820,70,31,0
0.0938337801608579,1.0,0.17156862745098037,21.746575117111206,0.25,False,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,0,0,0,0,70,676,0
0.6796116504854369,1.0,0.8092485549132947,47.69875764846802,0.375,True,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,123475,796,124271,796,70,33,0
0.09681881051175657,1.0,0.17654476670870112,21.757761240005493,0.375,False,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,0,0,0,0,70,653,0
0.7777777777777778,1.0,0.8750000000000001,36.079731464385986,0.5,True,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,65512,433,65945,433,70,20,0
0.17676767676767677,1.0,0.30042918454935624,21.787391901016235,0.5,False,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,0,0,0,0,70,326,0
0,0.0,0,22.8246910572052,0.625,True,0.0,0.0,0.0,0.0,3171,22,3193,22,0,0,70
0.0,0.0,0,21.947526454925537,0.625,False,0.0909616573902288,0.03021027898615571,0.021698183857045087,0.01896738884825498,0,0,0,0,0,20,70
0.6796116504854369,1.0,0.8092485549132947,26.73703694343567,0.5,,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,127623,820,128443,820,70,33,0
0.5785123966942148,1.0,0.7329842931937173,49.171812534332275,0,True,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,127623,820,128443,820,70,51,0
0.0938337801608579,1.0,0.17156862745098037,22.338618755340576,0,False,1.0,0.9484574853124393,0.927849049057959,0.9138456278305056,0,0,0,0,70,676,0
0,0.0,0,20.554860830307007,0.75,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70
0,0.0,0,20.398362398147583,0.75,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70
