precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0.9588235294117647,0.652,0.7761904761904763,50.59964966773987,0.125,True,0.8143241935944954,0.7155500431962394,0.6698079336937657,0.6413479901575515,125983,820,126803,820,163,7,87
0.29892761394101874,0.892,0.4477911646586345,21.84735345840454,0.125,False,0.9266188113125213,0.8631821731067943,0.8375882433573019,0.8216295688575772,0,0,0,0,223,523,27
0.943502824858757,0.668,0.7822014051522248,48.737072229385376,0.25,True,0.8235363936438005,0.7267568557984571,0.6839736892804852,0.6575556065589908,125983,820,126803,820,167,10,83
0.29892761394101874,0.892,0.4477911646586345,21.854819536209106,0.25,False,0.9266188113125213,0.8631821731067943,0.8375882433573019,0.8216295688575772,0,0,0,0,223,523,27
0.9431818181818182,0.664,0.7793427230046949,44.81019043922424,0.375,True,0.8205426576288829,0.7241687476899353,0.6785939951629241,0.6490043473864874,107677,708,108385,708,166,10,84
0.3411214953271028,0.876,0.4910313901345292,21.87791609764099,0.375,False,0.9215575177584834,0.8561728408854815,0.829502775487184,0.8125274307639584,0,0,0,0,219,423,31
0.16666666666666666,0.004,0.0078125,22.850354194641113,0.5,True,0.16095467286674842,0.05371953459457969,0.031836930957500224,0.02579744917519479,3953,28,3981,28,1,5,249
0.1111111111111111,0.008,0.014925373134328356,21.80758285522461,0.5,False,0.16479050286950064,0.054911026603904636,0.03264255948422104,0.02645966265815084,0,0,0,0,2,16,248
0,0.0,0,20.463852643966675,0.625,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,250
0,0.0,0,20.456758737564087,0.625,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,250
0.9345238095238095,0.628,0.7511961722488039,26.700778007507324,0.5,,0.7948154691353372,0.6925077440345038,0.6455636346013127,0.6180522041420665,125983,820,126803,820,157,11,93
0.861244019138756,0.72,0.7843137254901962,48.97342014312744,0,True,0.846580469770028,0.7591229325986366,0.7190829302496474,0.6951110383160921,125983,820,126803,820,180,29,70
0.29892761394101874,1.0,0.4477911646586345,21.94845962524414,0,False,0.9266188113125213,0.8631821731067943,0.8375882433573019,0.8216295688575772,0,0,0,0,223,523,0
0,0.0,0,20.586440324783325,0.75,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,250
0,0.0,0,20.399545669555664,0.75,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,250
