precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0.7428571428571429,0.7615062761506276,0.7520661157024794,50.229088306427,0.125,True,0.8505599451347883,0.753432574912526,0.7138776622809889,0.6882670080340051,125983,820,126803,820,182,63,57
0.28418230563002683,0.8870292887029289,0.4304568527918782,22.688185453414917,0.125,False,0.9200481718086574,0.8260119437896607,0.7887878684834575,0.7641946668192595,0,0,0,0,212,534,27
0.7346938775510204,0.7531380753138075,0.743801652892562,49.164177656173706,0.25,True,0.840070765939172,0.7421607109773788,0.7061231458938144,0.6824735945930581,125983,820,126803,820,180,65,59
0.28418230563002683,0.8870292887029289,0.4304568527918782,22.505082845687866,0.25,False,0.9200481718086574,0.8260119437896607,0.7887878684834575,0.7641946668192595,0,0,0,0,212,534,27
0.7081081081081081,0.5481171548117155,0.6179245283018868,38.28498029708862,0.375,True,0.7243624343057241,0.603268288714197,0.5522163520654765,0.5192974568248842,71006,475,71481,475,131,54,108
0.34894613583138173,0.6234309623430963,0.44744744744744747,22.33609628677368,0.375,False,0.7704691328200821,0.6440828551135757,0.5880881577771604,0.5532528618218409,0,0,0,0,149,278,90
0.5714285714285714,0.016736401673640166,0.03252032520325203,23.162978410720825,0.5,True,0.15455740920589847,0.05897345462294297,0.04298236711485736,0.036855023367112875,2790,20,2810,20,4,3,235
0.6666666666666666,0.03347280334728033,0.06374501992031872,21.935415506362915,0.5,False,0.17716886053442923,0.06817195507688609,0.0489386590354127,0.04081736414190497,0,0,0,0,8,4,231
0,0.0,0,20.37739872932434,0.625,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,239
0,0.0,0,20.380239963531494,0.625,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,239
0.7261904761904762,0.7656903765690377,0.745417515274949,28.246139526367188,0.5,,0.8490622378503172,0.7512298465753741,0.7148213700903733,0.690495557618779,125983,820,126803,820,183,69,56
0.5850746268656717,0.8200836820083682,0.6829268292682928,50.092915773391724,0,True,0.8776355317230063,0.7892577271109247,0.7558021958347049,0.7320137120820529,125983,820,126803,820,196,139,43
0.28418230563002683,1.0,0.4304568527918782,22.626612186431885,0,False,0.9200481718086574,0.8260119437896607,0.7887878684834575,0.7641946668192595,0,0,0,0,212,534,0
0,0.0,0,20.431877374649048,0.75,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,239
0,0.0,0,20.44221520423889,0.75,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,239
