name_abrev
CuS
FeCO3
Hg3PO4
Pb(C2H3O2)2
Al2S3
Pb(C2H3O2)4
FeI3
FeI2
FeSO4
KCl
CuBr2
CaI2
Fe(C2H3O2)2
ZnCrO4
Mg(OH)2
AlPO4
Fe2(SO4)3
Fe3(PO4)2
Pb3(PO4)2
Pb3(PO4)4
Fe(C2H3O2)3
Mg(NO3)2
KNO3
HgI2
ZnCO3
CaCl2
Ag2CrO4
AlBr3
CuSO4
KC2H3O2
HgBr2
MgI2
CO
Ca3(PO4)2
CH4
(NH4)3PO4
PbO
MgCrO4
AgOH
PbS
AgC2H3O2
K2CrO4
K2SO4
AlI3
FeBr2
FeBr3
Pb(CO3)2
Al2O3
NO2
Al(C2H3O2)3
ICl
CuCO3
PbSO4
Pb(SO4)2
K2CO3
Al(OH)3
HgCrO4
Na2CO3
MgCl2
ZnSO4
H2O
Zn(C2H3O2)2
H2S
Fe(NO3)3
Fe(NO3)2
Cu(C2H3O2)2
Zn(NO3)2
Na2SO4
PbI4
Fe2S3
PbI2
AgI
CuCrO4
Cl2
NaOH
Ba(NO3)2
ZnBr2
Fe(OH)3
BaBr2
Fe(OH)2
HCl
Ba(OH)2
FeCrO4
NaI
NH4C2H3O2
FePO4
PbBr2
Ag3PO4
PbBr4
Zn(OH)2
H2
Cu(NO3)2
Al2(CO3)3
HF
HI
Ca(C2H3O2)2
HgI
Ca(OH)2
(NH4)2CrO4
(NH4)2CO3
CuCl2
Mg3(PO4)2
HgS
HgOH
(NH4)2SO4
MgCO3
Zn2(PO4)2
Hg2SO4
Ba3(PO4)2
AgBr
Al2(SO4)3
MgSO4
HgNO3
Ag2S
CuI2
CO2
BaCO3
Hg3(PO4)2
AgNO3
AgCl
Na2S
FeS
BaSO4
SO2
AlCl3
CaBr2
(NH4)2S
Hg(NO3)2
KI
NaC2H3O2
Na2CrO4
PbCO3
C2H6
Hg2CrO4
C2H4
BaCrO4
KOH
C2H2
HgCl2
ZnI2
Ba(C2H3O2)2
ZnS
NH4OH
FeCl3
Ag2SO4
FeCl2
Al2(CrO4)3
Cu3(PO4)2
CaS
Pb(NO3)4
Pb(NO3)2
Fe2(CrO4)3
Pb(OH)4
Pb(OH)2
N2
MgBr2
NaBr
NaNO3
PbCrO4
NH4Cl
NH4NO3
HgC2H3O2
Ag2CO3
BaI2
NH3
NaCl
NO
O2
BaCl2
NH4Br
CaSO4
Hg(C2H3O2)2
HgCl
Ca(NO3)2
ZnCl2
MgO
CaCO3
Hg2CO3
BaS
MgS
CaCrO4
Cu(OH)2
Na3PO4
Al(NO3)3
Hg2S
PbCl2
Fe2(CO3)3
Mg(C2H3O2)2
NH4I
HgBr
K2S
HgCO3
K3PO4
PbS2
Hg(OH)2
KBr
HgSO4
